0.313,0.0869,3,-19.386,1,0.0389,0.946,0.817,0.0993,0.133,82.84,4,3
0.523,0.143,2,-21.579,1,0.0337,0.848,0.943,0.22,0.313,105.656,4,3
0.514,0.287,9,-13.979,0,0.0494,0.985,0.287,0.112,0.632,98.589,4,3
0.112,0.0386,2,-21.525,1,0.0421,0.978,0.0369,0.117,0.0727,80.82,4,3
0.125,0.146,11,-16.697,0,0.0392,0.959,0.795,0.08,0.114,65.799,4,3
0.314,0.0914,6,-27.301,0,0.0613,0.934,0.579,0.101,0.456,79.643,4,3
0.386,0.0369,4,-25.1,1,0.0549,0.994,0.917,0.0703,0.0423,139.291,3,3
0.546,0.192,7,-18.922,1,0.0366,0.513,0.921,0.311,0.668,123.541,4,3
0.352,0.164,0,-18.088,0,0.0388,0.985,0.918,0.135,0.138,94.894,4,3
0.283,0.033,5,-27.502,1,0.0338,0.985,0.898,0.0869,0.0986,68.589,4,3
0.278,0.146,7,-17.175,0,0.038,0.911,0.89,0.149,0.359,165.558,5,3
0.346,0.157,7,-17.039,0,0.0404,0.952,0.87,0.0995,0.227,122.567,4,3
0.39,0.176,6,-17.844,1,0.0415,0.814,0.0231,0.0654,0.549,99.54,4,3
0.289,0.00304,11,-40.453,0,0.0387,0.995,0.854,0.108,0.0749,74.008,4,3
0.566,0.133,7,-15.21,1,0.0495,0.961,0.662,0.0905,0.427,122.076,4,3
0.421,0.137,2,-15.531,1,0.0439,0.953,0.853,0.161,0.464,84.053,4,3
0.511,0.252,2,-17.735,0,0.0561,0.952,0.00938,0.143,0.586,91.45,4,3
0.105,0.212,0,-14.436,1,0.0383,0.978,0.352,0.101,0.0565,82.346,3,3
0.112,0.11,0,-20.093,0,0.0388,0.945,0.837,0.116,0.0391,75.476,4,3
0.343,0.0285,9,-31.029,0,0.0444,0.995,0.911,0.0728,0.153,118.262,4,3
0.337,0.127,2,-19.587,1,0.0367,0.927,0.893,0.161,0.239,141.944,4,3
0.145,0.0647,5,-24.565,1,0.0473,0.802,0.912,0.195,0.0362,81.623,3,3
0.283,0.357,2,-17.34,1,0.0358,0.452,8.36e-05,0.11,0.743,94.202,4,3
0.136,0.0623,0,-28.556,0,0.0376,0.975,0.93,0.34,0.0521,75.739,4,3
