0.565,0.118,0,-9.772,1,0.0607,0.859,0.016,0.12,0.352,70.688,4,0
0.2,0.11,6,-16.646,0,0.0357,0.906,0.000153,0.0959,0.162,171.751,5,0
0.569,0.483,0,-8.703,1,0.113,0.67,1.08e-05,0.125,0.691,149.542,4,0
0.748,0.401,5,-15.08,1,0.0949,0.638,0.000149,0.284,0.807,96.366,4,0
0.396,0.257,2,-10.943,0,0.0304,0.746,0,0.333,0.407,71.504,5,0
0.632,0.769,5,-6.627,0,0.0701,0.766,5.05e-06,0.0595,0.848,101.927,4,0
0.565,0.286,4,-10.871,0,0.0289,0.883,0,0.178,0.487,95.964,4,0
0.214,0.4,10,-10.042,1,0.0342,0.756,0,0.325,0.508,169.683,3,0
0.698,0.661,7,-9.674,1,0.0416,0.636,0,0.228,0.824,131.808,4,0
0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,4,0
0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203,4,0
0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,4,0
0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385,4,0
0.462,0.796,9,-6.202,1,0.0322,0.384,0,0.296,0.824,204.028,4,0
0.678,0.551,1,-7.332,1,0.0261,0.266,0.00322,0.254,0.767,97.767,3,0
0.798,0.538,7,-11.412,1,0.0363,0.328,0.00206,0.182,0.677,81.018,4,0
0.512,0.44,10,-7.458,1,0.0326,0.952,0.00232,0.228,0.594,70.417,4,0
0.486,0.312,2,-13.522,1,0.0533,0.726,1.59e-06,0.0601,0.598,205.917,4,0
0.74,0.322,0,-9.26,1,0.0399,0.551,0.000763,0.17,0.629,102.889,4,0
0.583,0.471,7,-9.712,0,0.0692,0.2,0.0037,0.0871,0.796,163.364,4,0
0.499,0.246,9,-12.806,1,0.0325,0.7,0.00227,0.0965,0.152,148.468,3,0
0.403,0.284,10,-14.014,1,0.0338,0.798,0,0.142,0.686,176.537,3,0
0.587,0.133,9,-15.151,0,0.0565,0.186,2.26e-05,0.258,0.068,102.938,4,0
0.687,0.63,6,-10.817,1,0.0389,0.249,0,0.221,0.926,110.051,4,0
0.65,0.323,0,-8.698,1,0.0283,0.213,0,0.187,0.276,110.962,3,0
0.687,0.135,3,-12.978,1,0.0735,0.988,0.862,0.623,0.563,95.217,4,0
0.611,0.175,2,-13.901,1,0.0348,0.907,3.46e-05,0.0866,0.435,87.869,4,0
0.451,0.241,10,-11.665,1,0.0531,0.839,0.00175,0.418,0.322,111.345,3,0
0.587,0.392,7,-7.711,1,0.0419,0.772,1.07e-05,0.41,0.413,89.695,4,0
0.563,0.408,0,-9.903,1,0.0473,0.776,1.05e-06,0.0975,0.614,156.107,4,0
0.429,0.146,0,-11.75,1,0.033,0.89,0.0282,0.187,0.238,86.2,4,0
0.512,0.629,8,-8.04,1,0.121,0.668,2.37e-06,0.0982,0.848,100.815,4,0
0.625,0.204,5,-15.361,0,0.0877,0.666,0,0.143,0.396,73.963,4,0
0.605,0.311,0,-7.233,0,0.119,0.822,5.79e-05,0.251,0.418,113.468,4,0
0.534,0.441,5,-5.242,1,0.0383,0.776,5.35e-05,0.237,0.563,101.911,4,0
0.511,0.32,8,-10.868,1,0.0502,0.717,1.52e-05,0.26,0.539,85.278,4,0
0.387,0.125,9,-13.275,0,0.0367,0.953,0,0.13,0.166,139.323,4,0
0.367,0.221,1,-13.923,1,0.0424,0.779,0,0.0508,0.291,74.825,4,0
0.484,0.137,10,-17.354,1,0.0435,0.476,0,0.112,0.428,113.784,4,0
0.562,0.687,5,-6.771,1,0.073,0.928,0.347,0.481,0.715,160.229,4,0
0.394,0.253,7,-10.54,0,0.0362,0.514,0.000314,0.248,0.319,99.59,3,0
0.576,0.433,5,-8.1,1,0.0655,0.749,0,0.106,0.736,95.967,4,0
0.47,0.257,10,-12.814,1,0.0662,0.772,0,0.233,0.466,69.934,4,0
0.646,0.181,3,-10.647,1,0.0673,0.986,0.174,0.145,0.35,118.794,4,0
0.484,0.494,3,-8.706,1,0.103,0.594,0,0.149,0.747,147.288,4,0
0.666,0.316,1,-8.293,1,0.0385,0.69,0,0.185,0.592,108.971,4,0
0.208,0.287,5,-13.3,1,0.037,0.864,0.000123,0.125,0.212,76.662,4,0
0.755,0.394,3,-7.438,1,0.126,0.691,0,0.0524,0.803,107.751,4,0
0.757,0.338,8,-16.34,1,0.113,0.331,0,0.158,0.899,110.1,4,0
0.722,0.486,5,-12.424,1,0.106,0.706,7.5e-06,0.0318,0.884,97.986,4,0
0.592,0.362,0,-12.046,1,0.231,0.567,0,0.176,0.701,104.35,4,0
0.627,0.597,3,-11.822,1,0.0766,0.42,0,0.0591,0.867,117.655,4,0
0.558,0.58,1,-10.671,1,0.462,0.822,2.13e-06,0.327,0.902,130.938,4,0
0.533,0.471,8,-9.571,1,0.19,0.608,0,0.0637,0.89,185.393,4,0
0.577,0.409,0,-7.899,0,0.132,0.801,0,0.145,0.687,144.058,4,0
0.484,0.812,7,-4.291,1,0.195,0.765,1.39e-05,0.273,0.939,208.844,4,0
0.765,0.352,2,-14.57,0,0.092,0.394,0.0182,0.072,0.435,107.617,4,0
0.583,0.269,10,-14.88,1,0.0849,0.518,0,0.938,0.555,95.773,4,0
0.471,0.395,11,-9.299,0,0.0389,0.793,0,0.142,0.345,76.949,4,0
0.611,0.703,7,-11.644,0,0.297,0.291,0,0.904,0.721,91.381,4,0
0.544,0.768,1,-10.76,1,0.247,0.394,3.79e-06,0.912,0.796,87.833,4,0
0.283,0.282,7,-10.883,0,0.0274,0.707,0,0.258,0.338,84.76,4,0
0.608,0.594,2,-11.86,1,0.0435,0.32,4.75e-05,0.129,0.789,125.166,4,0
0.632,0.232,9,-12.326,1,0.0318,0.428,4.95e-06,0.215,0.673,119.136,4,0
0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,4,0
0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,4,0
0.561,0.732,7,-6.178,1,0.0281,0.329,0.000228,0.0755,0.671,118.975,4,0
0.496,0.0975,1,-17.234,1,0.0318,0.703,0.000714,0.0951,0.36,141.397,4,0
