0.858,0.714,2,-9.496,1,0.32,0.155,2.91e-05,0.102,0.727,104.227,4,2
0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,4,2
0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,4,2
0.683,0.869,1,-2.379,0,0.201,0.157,0,0.18,0.64,139.945,4,2
0.438,0.833,1,-4.589,0,0.35,0.0835,1.94e-05,0.344,0.818,89.891,4,2
0.487,0.435,10,-7.788,1,0.339,0.00707,0.000998,0.178,0.0849,172.951,4,2
0.81,0.721,10,-7.296,0,0.253,0.653,0,0.0775,0.377,109.98,4,2
0.665,0.653,7,-3.349,1,0.289,0.196,0,0.0924,0.725,89.08,4,2
0.473,0.534,1,-8.622,1,0.249,0.147,0,0.585,0.118,145.166,4,2
0.672,0.574,9,-4.663,1,0.0993,0.0303,2.02e-06,0.18,0.106,103.019,4,2
0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,4,2
0.79,0.676,8,-6.432,0,0.271,0.00157,0,0.25,0.314,132.002,4,2
0.774,0.431,1,-8.407,1,0.346,0.000146,1.99e-05,0.112,0.353,201.843,4,2
0.796,0.646,11,-5.596,1,0.271,0.0496,0,0.111,0.272,127.943,4,2
0.676,0.724,1,-5.467,0,0.347,0.0754,0,0.728,0.464,140.011,4,2
0.627,0.807,10,-4.861,0,0.288,0.289,0,0.116,0.537,98.362,4,2
0.551,0.822,1,-5.964,1,0.54,0.24,0,0.32,0.34,84.348,4,2
0.789,0.621,10,-7.685,0,0.283,0.315,0,0.136,0.158,118.891,4,2
0.784,0.581,1,-8.583,1,0.296,0.00567,0,0.332,0.487,83.027,4,2
0.655,0.841,9,-4.012,0,0.229,0.0173,0,0.207,0.332,108.841,4,2
0.692,0.768,3,-6.857,0,0.403,0.402,0,0.155,0.76,121.019,4,2
0.676,0.417,9,-12.205,1,0.419,0.329,0,0.472,0.179,172.102,4,2
0.824,0.738,10,-5.189,1,0.278,0.623,0,0.102,0.451,139.859,4,2
0.825,0.702,11,-4.195,0,0.281,0.144,0,0.264,0.874,94.462,4,2
0.688,0.431,10,-12.663,0,0.372,0.324,0,0.113,0.546,148.045,4,2
0.524,0.9,4,-5.601,0,0.436,0.706,0,0.0953,0.453,176.735,4,2
0.728,0.573,8,-7.875,1,0.283,0.00478,0,0.0996,0.221,105.002,4,2
0.779,0.661,2,-7.709,1,0.171,0.0317,1.63e-06,0.222,0.663,99.466,4,2
0.514,0.799,0,-7.807,0,0.463,0.0544,0,0.125,0.147,187.883,4,2
0.441,0.585,1,-10.166,0,0.39,0.634,5.81e-06,0.193,0.322,76.257,1,2
0.621,0.728,4,-10.25,0,0.679,0.602,0,0.0953,0.17,80.317,4,2
0.546,0.595,4,-10.958,0,0.386,0.821,0,0.231,0.358,63.399,3,2
0.75,0.81,4,-9.464,0,0.0882,0.0438,0,0.0794,0.122,119.998,4,2
0.747,0.48,6,-7.928,0,0.037,0.0378,0,0.0814,0.072,127.99,4,2
0.85,0.919,6,-6.393,1,0.247,0.284,0,0.0505,0.722,121.056,4,2
0.924,0.543,7,-6.612,1,0.0854,0.432,7.32e-05,0.11,0.104,99.997,4,2
0.618,0.815,1,-8.243,1,0.298,0.137,0,0.129,0.622,91.792,4,2
0.71,0.404,1,-10.04,0,0.379,0.484,0,0.0953,0.398,139.553,4,2
0.725,0.722,5,-5.945,1,0.113,0.000333,0,0.512,0.398,83.019,4,2
0.61,0.839,6,-3.629,1,0.299,0.0261,0,0.3,0.691,80.514,4,2
0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,4,2
0.864,0.571,8,-6.49,0,0.286,0.0975,0,0.144,0.421,130.03,4,2
0.782,0.436,2,-7.033,1,0.155,0.331,1.3e-05,0.342,0.243,82.994,4,2
0.747,0.524,10,-6.807,0,0.245,0.0306,0,0.2,0.363,140.053,4,2
0.825,0.609,2,-7.525,1,0.241,0.00082,3.37e-05,0.143,0.31,160.034,4,2
0.914,0.507,2,-10.784,1,0.164,0.0855,0.0254,0.0797,0.199,123.956,4,2
0.627,0.611,10,-7.594,0,0.329,0.144,0,0.333,0.608,179.713,4,2
0.508,0.703,3,-8.336,0,0.257,0.0284,0.00243,0.282,0.298,86.604,4,2
0.726,0.554,7,-10.463,1,0.309,0.423,0,0.0753,0.779,99.934,4,2
0.57,0.45,2,-11.479,1,0.267,0.323,5.84e-05,0.127,0.136,76.986,4,2
0.87,0.674,6,-5.252,1,0.27,0.3,0,0.107,0.553,140.038,4,2
0.596,0.494,3,-5.948,0,0.0518,0.309,1.3e-06,0.0908,0.27,125.359,4,2
0.797,0.623,3,-3.869,0,0.298,0.353,0,0.117,0.704,75.987,4,2
0.846,0.55,8,-5.867,1,0.287,0.0959,0,0.114,0.242,145.022,4,2
0.901,0.529,2,-4.443,1,0.191,0.0519,0,0.179,0.146,138.003,4,2
0.9,0.365,10,-6.395,0,0.235,0.147,0.185,0.179,0.136,135.003,4,2
0.61,0.604,1,-6.312,1,0.29,0.00611,1.15e-06,0.34,0.675,113.371,5,2
0.723,0.732,11,-5.514,1,0.0864,0.11,0,0.484,0.503,104.991,4,2
0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,2
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4,2
0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,4,2
0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,4,2
0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4,2
0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,4,2
0.681,0.541,9,-8.926,0,0.055,0.0224,0,0.167,0.413,110.803,4,2
0.667,0.61,0,-6.169,1,0.313,0.114,0,0.324,0.275,154.973,4,2
